Target,Features,Model,CV F1 (±Std),CV ROC-AUC,Test F1,Test ROC-AUC
AccumulationInvestment,Base,Logistic Regression,0.631 (±0.010),0.696,0.628,0.671
AccumulationInvestment,Base,KNN (k=3),0.619 (±0.017),0.635,0.620,0.636
AccumulationInvestment,Base,KNN (k=5),0.632 (±0.016),0.657,0.642,0.667
AccumulationInvestment,Base,KNN (k=7),0.640 (±0.012),0.673,0.655,0.670
AccumulationInvestment,Base,KNN (k=15),0.640 (±0.007),0.692,0.662,0.686
AccumulationInvestment,Base,Decision Tree,0.681 (±0.036),0.783,0.664,0.788
AccumulationInvestment,Base,Random Forest,0.783 (±0.018),0.845,0.782,0.843
AccumulationInvestment,Base,SVM,0.653 (±0.014),0.720,0.665,0.708
AccumulationInvestment,Base,Naive Bayes,0.434 (±0.015),0.647,0.416,0.634
AccumulationInvestment,Base,XGBoost,0.780 (±0.013),0.844,0.770,0.843
AccumulationInvestment,Engineered,Logistic Regression,0.682 (±0.009),0.720,0.688,0.701
AccumulationInvestment,Engineered,KNN (k=3),0.683 (±0.015),0.717,0.669,0.698
AccumulationInvestment,Engineered,KNN (k=5),0.686 (±0.016),0.735,0.701,0.724
AccumulationInvestment,Engineered,KNN (k=7),0.681 (±0.014),0.740,0.691,0.733
AccumulationInvestment,Engineered,KNN (k=15),0.685 (±0.018),0.750,0.694,0.748
AccumulationInvestment,Engineered,Decision Tree,0.817 (±0.009),0.863,0.819,0.869
AccumulationInvestment,Engineered,Random Forest,0.803 (±0.011),0.860,0.795,0.855
AccumulationInvestment,Engineered,SVM,0.695 (±0.017),0.759,0.661,0.728
AccumulationInvestment,Engineered,Naive Bayes,0.483 (±0.029),0.687,0.465,0.668
AccumulationInvestment,Engineered,XGBoost,0.796 (±0.013),0.856,0.800,0.854
IncomeInvestment,Base,Logistic Regression,0.611 (±0.029),0.766,0.586,0.724
IncomeInvestment,Base,KNN (k=3),0.548 (±0.018),0.679,0.520,0.659
IncomeInvestment,Base,KNN (k=5),0.550 (±0.025),0.694,0.527,0.687
IncomeInvestment,Base,KNN (k=7),0.544 (±0.027),0.699,0.527,0.689
IncomeInvestment,Base,KNN (k=15),0.542 (±0.028),0.716,0.504,0.698
IncomeInvestment,Base,Decision Tree,0.701 (±0.022),0.790,0.637,0.729
IncomeInvestment,Base,Random Forest,0.720 (±0.020),0.797,0.634,0.768
IncomeInvestment,Base,SVM,0.599 (±0.030),0.776,0.558,0.725
IncomeInvestment,Base,Naive Bayes,0.559 (±0.019),0.755,0.518,0.711
IncomeInvestment,Base,XGBoost,0.691 (±0.016),0.784,0.643,0.764
IncomeInvestment,Engineered,Logistic Regression,0.662 (±0.027),0.778,0.607,0.726
IncomeInvestment,Engineered,KNN (k=3),0.595 (±0.029),0.717,0.573,0.691
IncomeInvestment,Engineered,KNN (k=5),0.592 (±0.024),0.728,0.594,0.706
IncomeInvestment,Engineered,KNN (k=7),0.602 (±0.041),0.743,0.584,0.705
IncomeInvestment,Engineered,KNN (k=15),0.593 (±0.039),0.758,0.562,0.716
IncomeInvestment,Engineered,Decision Tree,0.732 (±0.022),0.794,0.660,0.736
IncomeInvestment,Engineered,Random Forest,0.726 (±0.018),0.800,0.658,0.762
IncomeInvestment,Engineered,SVM,0.611 (±0.034),0.770,0.557,0.732
IncomeInvestment,Engineered,Naive Bayes,0.648 (±0.039),0.760,0.603,0.712
IncomeInvestment,Engineered,XGBoost,0.704 (±0.021),0.792,0.651,0.750
,,,,,,
