,importance
DIV_Income_X_Wealth,400
MUL_Age_X_FinancialEducation,384
MUL_Age_X_RiskPropensity,321
MUL_RiskPropensity_X_Income,303
MUL_FinancialEducation_X_Income,271
DIV_Wealth_X_Income,268
DIV_FinancialEducation_X_RiskPropensity,253
MUL_FamilyMembers_X_FinancialEducation,243
FinancialEducation,240
MUL_FamilyMembers_X_RiskPropensity,219
Wealth,208
MUL_RiskPropensity_X_Wealth,207
MUL_Age_X_FamilyMembers,202
ADD_Gender_X_FinancialEducation,196
MUL_FamilyMembers_X_Wealth,195
MUL_FinancialEducation_X_RiskPropensity,195
ADD_Gender_X_RiskPropensity,193
DIV_Age_X_Wealth,191
RiskPropensity,189
ADD_FinancialEducation_X_RiskPropensity,186
ADD_Age_X_RiskPropensity,185
DIV_Age_X_FinancialEducation,185
ADD_Age_X_Income,182
MUL_FamilyMembers_X_Income,182
DIV_FamilyMembers_X_FinancialEducation,181
MUL_FinancialEducation_X_Wealth,180
MUL_Age_X_Wealth,175
DIV_FamilyMembers_X_Income,172
MUL_Income_X_Wealth,171
DIV_FamilyMembers_X_Wealth,164
DIV_Age_X_RiskPropensity,164
MUL_Age_X_Income,164
ADD_Age_X_FinancialEducation,162
DIV_Age_X_Income,161
DIV_RiskPropensity_X_FinancialEducation,159
ADD_FamilyMembers_X_FinancialEducation,157
ADD_FamilyMembers_X_RiskPropensity,150
ADD_Age_X_Wealth,149
ADD_Income_X_Wealth,149
DIV_Gender_X_RiskPropensity,149
DIV_FamilyMembers_X_RiskPropensity,139
DIV_FinancialEducation_X_Wealth,138
DIV_RiskPropensity_X_Wealth,138
DIV_FinancialEducation_X_Income,138
DIV_Income_X_FamilyMembers,136
DIV_RiskPropensity_X_Income,134
Age,134
DIV_FinancialEducation_X_Age,131
DIV_Wealth_X_FinancialEducation,129
DIV_Wealth_X_FamilyMembers,128
DIV_RiskPropensity_X_FamilyMembers,127
DIV_Wealth_X_RiskPropensity,120
DIV_Income_X_FinancialEducation,120
DIV_Wealth_X_Age,117
ADD_FamilyMembers_X_Wealth,117
DIV_Income_X_RiskPropensity,104
DIV_Age_X_FamilyMembers,103
ADD_Gender_X_Wealth,102
Income,101
DIV_Gender_X_Income,100
DIV_FinancialEducation_X_FamilyMembers,99
DIV_Income_X_Age,97
ADD_Age_X_Gender,96
DIV_Gender_X_Wealth,95
ADD_Gender_X_Income,93
MUL_Gender_X_Income,89
DIV_RiskPropensity_X_Age,88
MUL_Gender_X_Wealth,76
DIV_Gender_X_FinancialEducation,73
MUL_Gender_X_FinancialEducation,73
DIV_FamilyMembers_X_Age,64
MUL_Age_X_Gender,60
ADD_FamilyMembers_X_Income,59
DIV_Gender_X_Age,55
MUL_Gender_X_RiskPropensity,49
ADD_Age_X_FamilyMembers,48
ADD_RiskPropensity_X_Wealth,38
ADD_FinancialEducation_X_Income,29
ADD_FinancialEducation_X_Wealth,17
ADD_RiskPropensity_X_Income,16
ADD_Gender_X_FamilyMembers,10
MUL_Gender_X_FamilyMembers,10
DIV_Gender_X_FamilyMembers,4
FamilyMembers,1
Gender,0
PCT_Age,0
PCT_FinancialEducation,0
PCT_Gender,0
PCT_FamilyMembers,0
PCT_RiskPropensity,0
PCT_Wealth,0
PCT_Income,0
