stratified_fold,ID,Age,Gender,FamilyMembers,FinancialEducation,RiskPropensity,Income,Wealth,Wealth_log,Income_log,Wealth_Age_Ratio_log,Wealth_per_person,Income_per_person,Income_Wealth_Ratio_log,Age_bracket_Young,Age_bracket_Mid,Age_bracket_Senior,AccumulationInvestment,IncomeInvestment
4,1,0.5316455696202531,0.0,0.25,0.2221715492221642,0.24310534132897513,0.18319514741564416,0.036079024074469564,0.4990490433631174,0.6647818585060773,0.2243451970861963,0.052753330701174495,0.1661448253735152,0.15542822657676564,0.0,0.0,1.0,1,0
1,2,0.7594936708860759,0.0,0.25,0.3724096848038428,0.1703208443675425,0.05571916330311394,0.09295242303136961,0.6397966264889648,0.44161446474469646,0.3286460535084419,0.1352113958098024,0.05150963977295954,0.02549863081673439,0.0,0.0,1.0,0,1
0,3,0.189873417721519,1.0,0.25,0.3246485903502432,0.2621612099825312,0.05969170187240911,0.04509390682452344,0.5319027127367193,0.4539703445054034,0.4626153645525992,0.06582358502717173,0.055082020087313624,0.05464681730050448,1.0,0.0,0.0,1,0
2,5,0.5063291139240507,0.0,0.5,0.45408992592749275,0.37794835292453627,0.05401246461066204,0.039985218495677224,0.5141603568122951,0.4360637256235157,0.24864940640372166,0.038739317622912835,0.03251717738513968,0.05591555820994304,0.0,0.0,1.0,0,0
3,6,0.30379746835443033,1.0,0.5,0.5118266325579204,0.5707126668411897,0.24290843725182504,0.053608191886642266,0.5575370010388255,0.7197016777922239,0.40077089372396274,0.05190685637211004,0.14576269069323536,0.14353119580118023,0.0,1.0,0.0,1,0
2,7,0.40506329113924056,0.0,0.25,0.5184675842382269,0.4120361186427266,0.17150590031361626,0.036176257680790434,0.49944395186141166,0.6520235564333917,0.2692042413722436,0.052894305131889086,0.15563304921112187,0.14829110892975042,0.0,1.0,0.0,1,0
3,8,0.5189873417721519,1.0,0.25,0.39017683453417784,0.22299952132933445,0.3570575849680712,0.06884099311743941,0.5948037343284409,0.7953714207141621,0.34376016727089265,0.10025336808208272,0.3224939050573676,0.15756703538782676,0.0,0.0,1.0,1,0
4,9,0.7974683544303797,0.0,0.5,0.18342666809367464,0.17800147918808465,0.25734559793763023,0.09041451143958165,0.6356393062466058,0.7309980067365883,0.3139156349957627,0.08748269029762373,0.15441795025073418,0.10134006453348238,0.0,0.0,1.0,1,1
4,10,0.6708860759493671,0.0,0.25,0.6243975192513291,0.5005118332229898,0.2835646416671866,0.1371316263609565,0.6983567732709487,0.7500190259184331,0.43639493802663193,0.19926474397278243,0.2564039881661129,0.07798881984832173,0.0,0.0,1.0,0,1
4,11,0.3417721518987342,0.0,0.5,0.5036699237688917,0.6565656191661227,0.28929177398472156,0.057705588039985704,0.5684892792471052,0.7539448716017857,0.3919852692784805,0.05586727096528127,0.17357008491035525,0.1539634363576854,0.0,1.0,0.0,1,0
4,13,0.620253164556962,1.0,0.25,0.33276282272524976,0.36961777805898594,0.29795679685657567,0.05474584564338453,0.5606576403310702,0.7597426145268795,0.267798072430896,0.07981747697221402,0.2693464054599555,0.16282700766586183,0.0,0.0,1.0,1,0
3,14,0.45569620253164556,1.0,0.25,0.7654121035614141,0.7642515428823737,0.20055575657463953,0.25303225946813146,0.7910592497508162,0.6823514164968719,0.6782935113880313,0.36730361849345405,0.18175668094721553,0.03234120795204458,0.0,1.0,0.0,1,1
0,15,0.5443037974683544,1.0,0.5,0.4397505348508389,0.36413505940659935,0.2184647730460757,0.10949637661857269,0.6644299857956166,0.6989984866773711,0.43213977058378067,0.10592662261257353,0.13110840631963833,0.07584337354960981,0.0,0.0,1.0,1,1
2,16,0.44303797468354433,1.0,0.25,0.4509873881682261,0.2283551558651493,0.12012492432428608,0.032454637693878685,0.48354797950337813,0.583743212486665,0.23626890415259913,0.04749850342461117,0.10942773642314554,0.12454479170065554,0.0,1.0,0.0,1,0
0,17,0.45569620253164556,0.0,0.25,0.3795780160798478,0.4970092710465067,0.10984235042069021,0.027191187436002913,0.45779620452132075,0.5667767323831086,0.20493329958364986,0.03986727455452288,0.10018093769398571,0.13279006630665122,0.0,1.0,0.0,1,1
3,18,0.7848101265822786,1.0,0.0,0.09583664432041572,0.08637044338318274,0.014472266469079027,0.002071556004348712,0.13708353064240902,0.2258882849326216,0.011419197829747041,0.0075105292927725165,0.031233363359390722,0.18635892167915002,0.0,0.0,1.0,0,0
1,19,0.6962025316455697,1.0,0.5,0.2675254481878562,0.47312395978467015,0.17193536711778926,0.06875465559258317,0.5946162239681336,0.6525069067457071,0.2879515856242615,0.06654695307035059,0.10321344178125033,0.0916971062707464,0.0,0.0,1.0,1,1
4,20,0.620253164556962,1.0,0.25,0.2832703397778289,0.33517810519536223,0.1275654120192331,0.045700465838245254,0.5338785027622026,0.5951848732431799,0.23747507928006903,0.06670300640101297,0.1161187354674515,0.10045541252928591,0.0,0.0,1.0,1,0
2,21,0.6075949367088608,1.0,0.25,0.4324504125707671,0.506139652787528,0.1629881987031086,0.050732307499853184,0.5493512385198678,0.6421890650681422,0.2582134525238274,0.07399843686514974,0.1479733452142596,0.11171931502546964,0.0,0.0,1.0,1,1
2,22,0.2784810126582279,0.0,0.5,0.5052591889061282,0.4209184117201857,0.12999195874542827,0.039224696728762644,0.5113332621283508,0.5987798324602152,0.3534424690260786,0.03800422113934359,0.0780678405034387,0.11462659744952691,0.0,1.0,0.0,1,0
